amount
1000
1000
1000
1035
1035
1040
1045
1045
1050
1060
1070
1080
1080
1085
1085
1090
1095
1095
1095
1100
1115
1135
1135
1180
1180
1190
1200
1200
1205
1210
1220
1240
1245
1245
1250
1250
1265
1275
1275
1275
1280
1285
1310
1325
1335
1350
1370
1385
1385
1385
1405
1420
1430
1435
1450
1450
1465
1465
1465
1490
1500
1525
1555
1575
1595
1600
1605
1635
1640
1645
1670
1680
1685
1700
1700
1710
1720
1750
1790
1815
1855
1865
1875
1900
1960
1975
1980
2020
2035
2210
2270
2325
2325
2330
2335
2395
2480
2495
2685
2700
2710
2735
2735
2785
2810
2810
2855
2870
2900
2900
2940
3015
3025
3055
3195
3420
3710
3720
3740
3970
3985
3990
4510
4640
4705
4770
5200
5430
5500
5630
5830
6845
6880
10780
17835
